Abscess;;Ígerð (abscess);;190/428/444/1865/450/464/465/500/660/690/727.5/760/787/802/1550/880/2170/2720;
Abscesses;also use Staphylococcus aureus and see Listeriose;Ígerð (abscess);einnig nota Staphylococcus aureus og sjá Listeriose;2720/2170/880/787/727.5/190/500;
Abscesses secondary;;Ígerð annars stigs (absecess annars stigs);;1550/802/760/465/444/450/428/660;
Acidosis;;Mjólkursýru-blóðsýring (acidosis);pH hefur fallið niður fyrir 7.35 … (harðsperrur) mjög góð við harðsperrum - Súrnun líkamsvefja;20/146/660/690/727.5/776/787/802/1550/880/10000;
Adhesion;;Samgróningar A;;190/660/690/727.5/760/776/787/880/802/1550/2170/2720;
Abdominal pain;;Kviðverkir;;10000/3/3000/95;
Abdominal inflammation;;Kviðbólga (gólgur í kviðarholi);;380/1.2/2720/2489/2170/1800/1600/1550/802/880/832/787/776/727.5/465/444/1865/146/125/95/72/20/450/440/428/660;
Acidosis (hyperacidity);;Mjólkursýru-blóðsýring (hyperacidity);;10000/880/802/787/776/727.5/20/146;
Acidosis II;;Mjólkursýru-blóðsýring annars stigs (acidosis);;20/146/660/690/727.5/776/787/802/1550/880/10000;
Acne;;Unglingabólur (Acne);;2720/2170/1800/1600/1550/1552/1500/802/880/787/564/778/428/444/1865/450/465/660/690/727.5/741/760/880;
Acne secondary;;Unglingabólur annars stigs (Acne annars stigs);;760/465/444/450/428/660;
Acne vulgaris;;Þrymlabólum;;564;
Aconite;used to stimulate lymphocyte production;Aconite;notuð til að örva eitilfrumna framleiðslu;3347/5611/2791;
Actinobacillus;a potentially pathogenic bacteria normally found in mammals;Actinobacillus;a hugsanlega sjúkdómsvaldandi bakteríur venjulega finnast í spendýrum;773 /776/778/822;
Actinomyces israelii;a bacterium normally found in the bowel and throat that can cause deep/pus-filled holes in tissue;Geislagerlabólga (Actinomyces israelii);baktería sem venjulega finnast í þörmum og hálsi- geta valdið djúpum graftarfylltum holum í vefjum;222/262/2154/465/488/567/7880/10000/787/727.5/20;
Actinomyces Actinomycosis;;Geislagerlabólga (Actinomyces Actinomycosis);;1.1/73/20/160/220/465/660/690/727.5/787/10000;
Acupuncture disturbance field (scar focus);;Nálastungur truflun sviði (ör fókus);;5,9;
Acute pain;;Bráðaverkur (acute pain);;3000/95/10000/1550/802/880/787/727.5/690/666;
Addiction;;Fíkn (addiction);;20/962/727.5/787/880/5000/10000;
Addiction to Drugs;;Fíkn eiturlyf (Addiction to drugs);;1.1/20/73/5000/10000;
Addiction to Drugs - detox;;Fíkn eiturlyf – afeitrun (Addiction to drugs – detox);;1.1/73/3/330/942/623/733/10000/5000/727.5/787/880;
Adenoids;;Hálskirtlar;;1550/802/880/787/776/727.5/444/20/428/660/2720/2170;
Adenoma cervical;epithelial tumor of the cervix that can be either benign or malignant. Also see Cancer.;Leghálsi kirtilæxli (adenoma cervical);þekjuvef æxli í leghálsi - getur verið annað hvort góðkynja eða illkynja. Einnig sjá Krabbamein.;433/443;
Adenovirus;A virus that causes infections in the lungs/stomach/and intestines;Eitlaveiran (Adenovirus);Veira sem veldur sýkingum í lungum / maga / og þörmum;333/523/786/768;
Adynamia/geriatric (fatigue of age);;Adynamia / öldruð (þreyta aldri);;60/27.5;
Adnexitis;swelling of the ovaries or Fallopian tubes;Eggjastokks og legpípubólga;þroti á eggjastokkum eða eggjaleiðara;440/441/522/572/3343/3833/5312;
Adhesions;;Samgróningar B;;2720/2170/1550/802/880/787/776/760/727.5/190;
Adhesion Secondary;;Samgróningar annars stigs;;190/660/690/727.5/760/776/787/880/802/1550/2170/2720;
Adrenal stimulant;;Nýrnahettuörvun;;10/20/1950;
